backbone,lambda,dev_mean_sharpe,dev_mean_return,dev_forecast_mse,dev_rank_ic
MLP,0.0,0.601,0.0872,0.029179,-0.0928
MLP,0.1,0.5229,0.0702,0.028457,-0.0982
MLP,0.25,0.3951,0.0476,0.027515,-0.1035
MLP,0.5,0.5082,0.0627,0.026314,-0.0996
MLP,1.0,-0.0503,-0.0351,0.025301,-0.0457
Transformer,0.0,0.3981,0.042,0.072918,-0.0755
Transformer,0.1,0.3848,0.0436,0.064527,-0.0769
Transformer,0.25,0.397,0.0462,0.053453,-0.0796
Transformer,0.5,0.4593,0.0531,0.039028,-0.0864
Transformer,1.0,-0.0503,-0.0351,0.025301,-0.0457
