trade_id,market,ticker,signal_date,entry_date,exit_date,holding_days,exit_reason,entry_price,exit_price,shares,entry_fee,exit_fee,realized_pnl,return_pct,win,run_id,arm,seed
EW_Brazil_B3SA3.SA,Brazil,B3SA3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,13.0,9.63,487,6.33,4.69,-1654.87,-0.261,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_EQTL3.SA,Brazil,EQTL3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,32.99,25.69,191,6.3,4.91,-1404.44,-0.2227,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_FLRY3.SA,Brazil,FLRY3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,14.9,10.47,425,6.33,4.45,-1891.34,-0.2984,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_ITUB4.SA,Brazil,ITUB4.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,24.05,23.39,263,6.33,6.15,-186.83,-0.0295,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_KLBN11.SA,Brazil,KLBN11.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,17.15,20.99,369,6.33,7.74,1401.09,0.2212,1,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_LREN3.SA,Brazil,LREN3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,13.76,11.12,460,6.33,5.12,-1224.71,-0.1933,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_MGLU3.SA,Brazil,MGLU3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,18.33,5.95,345,6.33,2.05,-4279.47,-0.6759,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_PETR4.SA,Brazil,PETR4.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,25.8,30.56,245,6.32,7.49,1152.23,0.1821,1,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_RADL3.SA,Brazil,RADL3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,27.13,20.85,233,6.32,4.86,-1474.52,-0.233,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_RAIL3.SA,Brazil,RAIL3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,21.43,16.98,295,6.32,5.01,-1324.26,-0.2093,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_RENT3.SA,Brazil,RENT3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,56.5,29.88,112,6.33,3.35,-2991.12,-0.4722,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_SUZB3.SA,Brazil,SUZB3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,52.79,60.46,119,6.28,7.2,899.52,0.143,1,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_TOTS3.SA,Brazil,TOTS3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,31.75,26.06,199,6.32,5.19,-1142.39,-0.1807,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_VALE3.SA,Brazil,VALE3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,61.04,46.88,103,6.29,4.83,-1469.58,-0.2335,0,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_Brazil_WEGE3.SA,Brazil,WEGE3.SA,2024-01-02,2024-01-02,2024-12-30,251,calendar_end,34.22,49.8,185,6.33,9.21,2866.85,0.4523,1,BENCH_EQUAL_WEIGHT_Brazil_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_000333.SZ,China,000333.SZ,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,47.17,67.83,111,5.24,7.53,2279.66,0.4349,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_000725.SZ,China,000725.SZ,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,3.78,4.3,1395,5.28,6.0,710.22,0.1345,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_000858.SZ,China,000858.SZ,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,122.06,126.36,43,5.25,5.43,174.06,0.0331,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_002230.SZ,China,002230.SZ,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,46.03,48.11,114,5.25,5.48,225.65,0.043,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_002241.SZ,China,002241.SZ,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,20.49,25.32,257,5.27,6.51,1228.13,0.2329,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_002415.SZ,China,002415.SZ,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,31.32,28.48,168,5.26,4.79,-486.84,-0.0924,0,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_002475.SZ,China,002475.SZ,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,33.81,40.31,156,5.27,6.29,1002.1,0.1898,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_002594.SZ,China,002594.SZ,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,64.71,92.76,81,5.24,7.51,2259.38,0.4306,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_300059.SZ,China,300059.SZ,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,13.88,25.62,380,5.28,9.73,4443.2,0.8413,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_600036.SS,China,600036.SS,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,23.97,35.74,220,5.27,7.86,2575.54,0.4879,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_600196.SS,China,600196.SS,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,24.06,24.14,219,5.27,5.29,7.76,0.0015,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_600276.SS,China,600276.SS,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,44.67,45.55,118,5.27,5.37,92.73,0.0176,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_600309.SS,China,600309.SS,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,72.73,69.28,72,5.24,4.99,-258.48,-0.0493,0,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_600519.SS,China,600519.SS,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,1558.4,1435.63,3,4.68,4.31,-377.29,-0.0806,0,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_600887.SS,China,600887.SS,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,23.45,27.52,225,5.28,6.19,902.57,0.1709,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_601012.SS,China,601012.SS,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,22.34,15.71,236,5.27,3.71,-1573.41,-0.2981,0,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_601318.SS,China,601318.SS,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,35.37,48.69,149,5.27,7.26,1972.4,0.3739,1,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_China_601888.SS,China,601888.SS,2024-01-02,2024-01-02,2024-12-31,242,calendar_end,79.37,65.07,66,5.24,4.29,-953.47,-0.1818,0,BENCH_EQUAL_WEIGHT_China_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_AI.PA,France,AI.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,138.24,137.19,40,5.53,5.49,-52.9,-0.0096,0,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_AIR.PA,France,AIR.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,132.5,148.63,42,5.56,6.24,665.86,0.1195,1,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_CAP.PA,France,CAP.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,176.32,149.77,31,5.47,4.64,-833.22,-0.1523,0,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_DG.PA,France,DG.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,102.09,93.03,54,5.51,5.02,-499.85,-0.0906,0,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_DIM.PA,France,DIM.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,238.49,187.23,23,5.49,4.31,-1188.93,-0.2165,0,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_DSY.PA,France,DSY.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,43.02,32.8,129,5.55,4.23,-1328.18,-0.2391,0,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_EL.PA,France,EL.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,167.82,226.53,33,5.54,7.48,1924.57,0.3472,1,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_LR.PA,France,LR.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,88.96,90.67,62,5.52,5.62,94.91,0.0172,1,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_MC.PA,France,MC.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,697.84,610.66,8,5.58,4.89,-707.94,-0.1267,0,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_ML.PA,France,ML.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,28.78,29.23,194,5.58,5.67,76.16,0.0136,1,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_OR.PA,France,OR.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,429.8,329.3,13,5.59,4.28,-1316.45,-0.2354,0,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_RI.PA,France,RI.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,140.61,99.51,39,5.48,3.88,-1612.22,-0.2937,0,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_RMS.PA,France,RMS.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,1867.3,2274.93,2,3.73,4.55,806.98,0.2159,1,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_SAF.PA,France,SAF.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,155.62,207.4,35,5.45,7.26,1799.76,0.3301,1,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_SU.PA,France,SU.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,173.25,233.0,32,5.54,7.46,1899.08,0.3422,1,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_TEP.PA,France,TEP.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,114.2,74.36,48,5.48,3.57,-1921.66,-0.3502,0,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
EW_France_WLN.PA,France,WLN.PA,2024-01-02,2024-01-02,2024-12-31,256,calendar_end,162.49,87.6,34,5.52,2.98,-2554.53,-0.4619,0,BENCH_EQUAL_WEIGHT_France_fixed,BENCH_EQUAL_WEIGHT,fixed
