market,ticker,currency,sessions_per_year,included_in_study,exclusion_reason
Brazil,B3SA3.SA,BRL,249,True,
Brazil,CIEL3.SA,BRL,249,False,Delisted / insufficient historical volume
Brazil,EMBR3.SA,BRL,249,False,Historical corporate transaction data gap
Brazil,EQTL3.SA,BRL,249,True,
Brazil,FLRY3.SA,BRL,249,True,
Brazil,ITUB4.SA,BRL,249,True,
Brazil,JBSS3.SA,BRL,249,False,Corporate restructuring / missing history
Brazil,KLBN11.SA,BRL,249,True,
Brazil,LREN3.SA,BRL,249,True,
Brazil,MGLU3.SA,BRL,249,True,
Brazil,PETR4.SA,BRL,249,True,
Brazil,RADL3.SA,BRL,249,True,
Brazil,RAIL3.SA,BRL,249,True,
Brazil,RENT3.SA,BRL,249,True,
Brazil,SUZB3.SA,BRL,249,True,
Brazil,TOTS3.SA,BRL,249,True,
Brazil,VALE3.SA,BRL,249,True,
Brazil,WEGE3.SA,BRL,249,True,
China,000333.SZ,CNY,242,True,
China,000725.SZ,CNY,242,True,
China,000858.SZ,CNY,242,True,
China,002230.SZ,CNY,242,True,
China,002241.SZ,CNY,242,True,
China,002415.SZ,CNY,242,True,
China,002475.SZ,CNY,242,True,
China,002594.SZ,CNY,242,True,
China,300059.SZ,CNY,242,True,
China,600036.SS,CNY,242,True,
China,600196.SS,CNY,242,True,
China,600276.SS,CNY,242,True,
China,600309.SS,CNY,242,True,
China,600519.SS,CNY,242,True,
China,600887.SS,CNY,242,True,
China,601012.SS,CNY,242,True,
China,601318.SS,CNY,242,True,
China,601888.SS,CNY,242,True,
France,AI.PA,EUR,254,True,
France,AIR.PA,EUR,254,True,
France,CAP.PA,EUR,254,True,
France,DG.PA,EUR,254,True,
France,DIM.PA,EUR,254,True,
France,DSY.PA,EUR,254,True,
France,EL.PA,EUR,254,True,
France,LR.PA,EUR,254,True,
France,MC.PA,EUR,254,True,
France,ML.PA,EUR,254,True,
France,OR.PA,EUR,254,True,
France,RI.PA,EUR,254,True,
France,RMS.PA,EUR,254,True,
France,SAF.PA,EUR,254,True,
France,STM.PA,EUR,254,False,Primary dual listing on Borsa Italiana
France,SU.PA,EUR,254,True,
France,TEP.PA,EUR,254,True,
France,WLN.PA,EUR,254,True,
India,ASIANPAINT.NS,INR,248,True,
India,BAJFINANCE.NS,INR,248,True,
India,BHARTIARTL.NS,INR,248,True,
India,EICHERMOT.NS,INR,248,True,
India,HCLTECH.NS,INR,248,True,
India,HDFCBANK.NS,INR,248,True,
India,ICICIBANK.NS,INR,248,True,
India,INFY.NS,INR,248,True,
India,LT.NS,INR,248,True,
India,M&M.NS,INR,248,True,
India,MARUTI.NS,INR,248,True,
India,PIDILITIND.NS,INR,248,True,
India,RELIANCE.NS,INR,248,True,
India,SUNPHARMA.NS,INR,248,True,
India,TCS.NS,INR,248,True,
India,TECHM.NS,INR,248,True,
India,TITAN.NS,INR,248,True,
India,ULTRACEMCO.NS,INR,248,True,
UK,AHT.L,GBP,253,False,Historical corporate split discontinuity
UK,AUTO.L,GBP,253,True,
UK,AZN.L,GBP,253,True,
UK,BA.L,GBP,253,True,
UK,CPG.L,GBP,253,True,
UK,CRDA.L,GBP,253,True,
UK,DGE.L,GBP,253,True,
UK,EXPN.L,GBP,253,True,
UK,HLMA.L,GBP,253,True,
UK,JD.L,GBP,253,True,
UK,LSEG.L,GBP,253,True,
UK,OCDO.L,GBP,253,True,
UK,PRU.L,GBP,253,True,
UK,REL.L,GBP,253,True,
UK,RMV.L,GBP,253,True,
UK,RTO.L,GBP,253,True,
UK,SGE.L,GBP,253,True,
UK,SPX.L,GBP,253,True,
US,AAPL,USD,252,True,
US,ADBE,USD,252,True,
US,AMD,USD,252,True,
US,AMGN,USD,252,True,
US,AMZN,USD,252,True,
US,AVGO,USD,252,True,
US,CRM,USD,252,True,
US,GOOGL,USD,252,True,
US,INTU,USD,252,True,
US,ISRG,USD,252,True,
US,LMT,USD,252,True,
US,META,USD,252,True,
US,MSFT,USD,252,True,
US,NOC,USD,252,True,
US,NVDA,USD,252,True,
US,ORCL,USD,252,True,
US,REGN,USD,252,True,
US,V,USD,252,True,
